month,date,hours,minutes,type,subType,source,neighbourhood,lat,lng
01,01,4,36,1,1,1,1,37.7490064262894, -122.418709970066
01,01,4,37,1,1,1,2,37.7428974441451, -122.42659414072
01,01,4,39,1,2,1,3,37.7503721238565, -122.422725777396
01,01,7,17,1,2,2,4,37.797463096183, -122.434804890857
01,01,7,20,2,3,2,4,37.797463096183, -122.434804890857
01,01,8,6,1,2,2,5,37.712052055302, -122.445790384364
01,01,8,16,2,4,2,6,37.709303816674, -122.422957788473
01,01,8,17,1,1,3,7,37.800232371882, -122.406751490778
01,01,8,31,3,5,3,7,37.798284752772, -122.404608684533
01,01,8,32,3,5,3,7,37.79799512726, -122.404510747047
01,01,8,34,3,5,3,7,37.797634765, -122.404581623
01,01,8,34,3,5,3,7,37.7981185412778, -122.404679883341
01,01,8,35,1,1,3,7,37.79824968982, -122.404885674164
01,01,8,38,1,1,3,7,37.798422121356, -122.407020622062
01,01,8,39,1,6,3,8,37.778575764609, -122.404155210787
01,01,8,41,3,5,3,9,37.778965092362, -122.509368318163
01,01,8,42,3,5,3,9,37.778965092362, -122.509368318163
01,01,8,42,4,7,3,8,37.7754368609784, -122.413718252262
01,01,8,53,3,5,3,1,37.7539020942446, -122.417505805937
01,01,8,55,2,8,3,1,37.7585447040345, -122.420506706539
01,01,9,2,3,5,3,3,37.75726532683, -122.426449135613
01,01,9,2,3,5,3,1,37.7538365886252, -122.418593918341
01,01,9,3,1,6,3,10,37.788191743344, -122.420947018788
01,01,9,17,3,5,3,11,37.7788490400683, -122.46949477463
01,01,9,19,3,5,3,1,37.76261998705, -122.419486833901
01,01,9,21,1,1,3,1,37.7630507877333, -122.419476172734
01,01,9,25,1,1,3,12,37.786449897, -122.472055203
01,01,9,27,3,5,3,1,37.763985812477, -122.419763801977
01,01,9,29,3,5,3,1,37.7682256768311, -122.420776732842
01,01,9,36,1,1,3,13,37.7675283474681, -122.432299268812
01,01,9,36,1,1,3,14,37.775697540876, -122.448311729018
01,01,9,37,1,6,3,13,37.767651210047, -122.432455614981
01,01,9,37,1,9,4,15,37.7732594983185, -122.510036907962
